iter	RMSE	R2
187	1723.35521	0.9272363779
188	1721.591922	0.9273852011
189	1718.950775	0.9276078313
190	1716.917867	0.9277789585
191	1716.517878	0.9278126052
192	1712.532106	0.9281474557
193	1711.760225	0.9282122126
194	1708.055108	0.9285226466
195	1706.506128	0.9286522288
196	1704.248293	0.9288409007
197	1701.894781	0.9290373019
198	1700.559099	0.9291486441
199	1698.713749	0.9293023284
200	1697.630571	0.9293924598
201	1695.038332	0.9296079271
202	1693.498338	0.9297357757
203	1691.054684	0.9299384066
204	1690.156282	0.9300128297
205	1689.79233	0.930042968
206	1688.160566	0.9301780121
207	1687.294755	0.9302496133
208	1686.307058	0.9303312494
209	1685.886836	0.9303659675
210	1684.971319	0.9304415762
211	1684.087133	0.9305145584
212	1683.048927	0.9306002048
213	1681.989006	0.930687588
214	1681.504049	0.930727551
215	1681.297992	0.9307445277
216	1678.99577	0.9309340626
217	1677.351816	0.9310692454
218	1676.992226	0.9310987969
219	1675.62403	0.9312111789
220	1674.320844	0.9313181358
221	1672.512493	0.9314664154
222	1672.483438	0.9314687966
223	1672.292704	0.9314844266
224	1671.151489	0.9315779082
225	1668.466563	0.9317975899
226	1668.315539	0.9318099362
227	1666.620405	0.9319484383
228	1665.283411	0.932057579
229	1664.770074	0.9320994601
230	1664.244418	0.9321423329
231	1664.056045	0.9321576934
232	1663.088595	0.9322365549
233	1661.652227	0.9323535555
234	1661.468202	0.9323685381
235	1660.170392	0.9324741538
236	1658.108962	0.9326417431
